tier,model,WAPE,MASE,MAE,RMSE,vol_capture,n_products
A,PredictZero,1.0,0.4245,71.916,450.267,0.0,428
A,LightGBM,1.1627,0.5495,83.615,434.213,0.297,428
A,Naive,1.3574,0.6071,97.619,488.219,0.47,428
A,MovingAvg8,1.5608,0.7236,112.245,439.589,0.901,428
A,CrostonTSB,1.6676,0.7655,119.927,417.609,1.068,428
A,SeasonalNaive,2.068,0.8456,148.724,738.127,1.293,428
B,PredictZero,1.0,0.3774,10.444,155.064,0.0,2519
B,LightGBM,1.1471,0.6301,11.98,153.415,0.202,2519
B,Naive,1.6702,0.6668,17.443,167.447,0.743,2519
B,MovingAvg8,1.754,0.7431,18.319,148.044,1.03,2519
B,CrostonTSB,1.9105,0.7398,19.953,148.746,1.201,2519
B,SeasonalNaive,1.9581,0.7507,20.45,208.698,1.124,2519
C,PredictZero,1.0,0.4553,1.291,32.716,0.0,10777
C,SeasonalNaive,1.6652,0.7424,2.15,43.279,0.689,10777
C,Naive,1.9384,0.665,2.503,36.433,0.943,10777
C,MovingAvg8,1.9602,0.64,2.531,35.488,1.02,10777
